Link,customId,Id_Evento,Cartao_Vermelho_Fora,Data_Hora,Evento_Slug,Torneio,Pais,Torneio_Slug,Id_Unico_Torneio,Evento_com_Estats,Id_Torneio,Status_Partida,Time_Casa,Id_Time_Casa,Time_Fora,Id_Time_Fora,Gols_Casa,Gols_Casa_1T,Gols_Casa_2T,Gols_Casa_Tempo_Normal,Gols_Fora,Gols_Fora_1T,Gols_Fora_2T,Gols_Fora_Tempo_Normal,Tempo_Extra_1T,Tempo_Extra_2T,Cartao_Vermelho_Casa,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,time.injuryTime3,time.injuryTime4,homeScore.penalties,awayScore.penalties,Odd_Frac_Casa,Odds_Decimais_Casa,Prob_Casa,Odd_Frac_Empate,Odds_Decimais_Empate,Prob_Empate,Odd_Frac_Fora,Odds_Decimais_Fora,Prob_Fora
https://www.sofascore.com/csd-xelaju-mc-deportivo-mixco/BPcsJvtc,BPcsJvtc,10970590,,2023-03-22 23:00:00,csd-xelaju-mc-deportivo-mixco,"Liga Nacional, Clausura",Guatemala,liga-nacional-clausura,11615,False,16684,Ended,CSD Xelajú MC,7026,Deportivo Mixco,296034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,,,,,,,,,,,3/10,1.3,76.92,4/1,5.0,20.0,6/1,7.0,14.29
https://www.sofascore.com/ventura-county-fusion-capo-fc/gwDsRvKd,gwDsRvKd,11048668,,2023-03-22 23:00:00,ventura-county-fusion-capo-fc,US Open Cup,USA,us-open-cup,495,True,6814,Ended,Ventura County Fusion,71056,Capo FC,463542,1.0,1.0,0.0,1.0,4.0,2.0,2.0,4.0,,,,,,,,,,,,,,3/10,1.3,76.92,4/1,5.0,20.0,6/1,7.0,14.29
https://www.sofascore.com/project-51o-crossfire-redmond/pDBcsaKLc,pDBcsaKLc,11048663,,2023-03-22 23:00:00,project-51o-crossfire-redmond,US Open Cup,USA,us-open-cup,495,True,6814,Ended,Project 51O,341750,Crossfire Redmond,316415,0.0,,0.0,0.0,3.0,,3.0,3.0,,,,,,,,,,,,,,4/9,1.44,69.44,10/3,4.33,23.09,17/4,5.25,19.05
https://www.sofascore.com/venados-cd-tapatio/GFosAYQc,GFosAYQc,10912520,,2023-03-23 00:05:00,venados-cd-tapatio,"Liga de Expansion MX, Clausura",Mexico,liga-de-expansion-mx-clausura,11612,False,90492,Ended,Venados,36531,CD Tapatío,354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,,,,,,,,,,,,6/5,2.2,45.45,11/5,3.2,31.25,5/2,3.5,28.57
https://www.sofascore.com/new-zealand-china/fVbsJVb,fVbsJVb,11118320,,2023-03-23 03:00:00,new-zealand-china,International Matches,World,int-friendly-games,851,False,66,Ended,New Zealand,4784,China,4755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,7/10,1.7,58.82,12/5,3.4,29.41,19/4,5.75,17.39
https://www.sofascore.com/mfk-vyskov-as-trencin/YXsUeo,YXsUeo,11150117,,2023-03-23 07:00:00,mfk-vyskov-as-trencin,Club Friendly Games,World,club-friendly-games,853,False,86,Ended,MFK Vyškov,35244,AS Trenčín,2398,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,7/5,2.4,41.67,5/2,3.5,28.57,7/5,2.4,41.67
https://www.sofascore.com/hong-kong-singapore/NUbspVb,NUbspVb,11134605,,2023-03-23 09:00:00,hong-kong-singapore,International Matches,World,int-friendly-games,851,False,66,Ended,Hong Kong,4765,Singapore,4738,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,,,,,,,,,,,,7/10,1.7,58.82,5/2,3.5,28.57,15/4,4.75,21.05
https://www.sofascore.com/fc-augsburg-fc-st-gallen-1879/RYsacb,RYsacb,11135091,,2023-03-23 10:00:00,fc-augsburg-fc-st-gallen-1879,Club Friendly Games,World,club-friendly-games,853,False,86,Ended,FC Augsburg,2600,FC St. Gallen 1879,2442,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,10/11,1.91,52.36,13/5,3.6,27.78,11/5,3.2,31.25
https://www.sofascore.com/eintracht-frankfurt-spvgg-greuther-furth/bbbszdb,bbbszdb,11150988,,2023-03-23 10:00:00,eintracht-frankfurt-spvgg-greuther-furth,Club Friendly Games,World,club-friendly-games,853,False,86,Ended,Eintracht Frankfurt,2674,SpVgg Greuther Fürth,2551,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,2.0,,,,,,,,,,,,8/11,1.73,57.8,11/4,3.75,26.67,11/4,3.75,26.67
https://www.sofascore.com/madagascar-central-african-republic/Kkdsvuj,Kkdsvuj,11094358,,2023-03-23 10:00:00,madagascar-central-african-republic,"Africa Cup of Nations, Qualification, Group E",Africa,africa-cup-of-nations-qual,1848,True,59844,Ended,Madagascar,8035,Central African Republic,23470,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,4/5,1.8,55.56,12/5,3.4,29.41,14/5,3.8,26.32
